NAME                                       READY   STATUS      RESTARTS   AGE     IP           NODE     NOMINATED NODE   READINESS GATES
phase2-beam-kch87                          0/1     Completed   0          3h10m   10.42.0.29   colima   <none>           <none>
phase2-bento-7696f75f4f-dkr9r              1/1     Running     0          3h47m   10.42.0.15   colima   <none>           <none>
phase2-camel-98c95dd7c-8cdx6               1/1     Running     0          3h44m   10.42.0.16   colima   <none>           <none>
phase2-ekuiper-6574bbb598-kctxs            1/1     Running     0          3h36m   10.42.0.21   colima   <none>           <none>
phase2-flink-fhbpr                         0/1     Completed   0          3h4m    10.42.0.32   colima   <none>           <none>
phase2-kafka-connect-6d7bfc67b6-zs6gd      1/1     Running     0          21m     10.42.0.44   colima   <none>           <none>
phase2-kafka-connect-setup-kllkj           0/1     Completed   0          20m     10.42.0.48   colima   <none>           <none>
phase2-mosquitto-744b8979bd-b9tnm          1/1     Running     0          3h43m   10.42.0.17   colima   <none>           <none>
phase2-node-red-54996777c8-bxnqx           1/1     Running     0          3h38m   10.42.0.20   colima   <none>           <none>
phase2-pulsar-65fcbddbb5-nscgm             1/1     Running     0          178m    10.42.0.33   colima   <none>           <none>
phase2-pulsar-setup-rhm4q                  0/1     Completed   0          174m    10.42.0.39   colima   <none>           <none>
phase2-redpanda-68985d9b4b-p9g58           1/1     Running     0          3h49m   10.42.0.14   colima   <none>           <none>
phase2-rocketmq-broker-6b6447bddb-sjpq7    1/1     Running     0          12m     10.42.0.51   colima   <none>           <none>
phase2-rocketmq-namesrv-6bfcf5f874-7sx9v   1/1     Running     0          12m     10.42.0.50   colima   <none>           <none>
phase2-rocketmq-streams-697944979-zprxl    1/1     Running     0          2m11s   10.42.0.61   colima   <none>           <none>
phase2-rocketmq-streams-setup-24kzk        0/1     Completed   0          2m11s   10.42.0.62   colima   <none>           <none>
phase2-seatunnel-wr29f                     0/1     Completed   0          3h23m   10.42.0.24   colima   <none>           <none>
phase2-spark-z5hdj                         0/1     Completed   0          3h17m   10.42.0.26   colima   <none>           <none>
